videoId,title,channelId,channelTitle,categoryId,publishedAt,views,likes,comments,regionCode,capturedAt
C_7pYZZokbc,Goo Goo Dolls - Iris (Lyrics),UCCZaAAYZ-suA3wBcGfNYIFw,Country World,22,2025-11-07T13:00:23Z,4898460,12536,313,AU,2025-11-10T22:35:54.568919
AuYmKbtnmEA,Michael | Official Trailer,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,24,2025-11-07T17:25:48Z,2409507,97471,3579,AU,2025-11-10T22:35:54.568919
MK83clSv6-k,Race Highlights | 2025 Sao Paulo Grand Prix,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,17,2025-11-09T19:25:48Z,4557935,98825,5785,AU,2025-11-10T22:35:54.568919
Dl_n2_ekfN4,Midnight Call (Official Video) - Harkirat Sangha | Starboy X | Rupan Bal | Interstellar 2025,UCHMKfETXVQMa2SPbw2ETu4A,Harkirat Sangha,10,2025-11-08T13:00:07Z,1735050,54486,1565,AU,2025-11-10T22:35:54.568919
3fU92zlwVLk,"Warhammer 40,000: 500 Worlds - Official Announcement Trailer",UCKy1dAqELo0zrOtPkf0eTMw,IGN,24,2025-11-08T15:55:01Z,1107252,35392,2216,AU,2025-11-10T22:35:54.568919
ADaZLxI3uWg,KT vs T1 | WORLDS 2025 | Finals,UCvqRdlKsE5Q8mf8YXbdIJLw,LoL Esports,20,2025-11-09T13:37:26Z,8698833,103511,938,AU,2025-11-10T22:35:54.568919
lDVl76cmOhg,sombr - back to friends (Lyrics),UCmC4aZKoa7mAWn-f4DWNtag,Cyrionis,10,2025-11-09T14:30:06Z,1223864,1884,24,AU,2025-11-10T22:35:54.568919
jsauQx_Fwrg,"The Family Man S3 - Official Trailer | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat | Prime Video IN",UC4zWG9LccdWGUlF77LZ8toA,Prime Video India,24,2025-11-07T07:35:06Z,18544194,277716,8542,AU,2025-11-10T22:35:54.568919
Xu_RCKtT23g,SIDEMEN AMONG US SHOCKWAVE MASTERCLASS,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,22,2025-11-08T19:15:04Z,2778635,117385,4258,AU,2025-11-10T22:35:54.568919
Ge9TNAQQbRo,4 Non Blondes - What's Up? (Lyrics),UCJxtNdTGIIaHEljCDo27b_w,FirePlay,10,2025-11-08T12:37:15Z,3448781,7671,152,AU,2025-11-10T22:35:54.568919
